name,brand,category,price,size,ingredients,image_url
Agua Micelar Todo en 1,"L'Oréal, L'Oreal Consumer products, Garnier, SkinActive",Cleanser,8,400 ml,"aqua (water), hexylene glycol, glycerin, disodium oldimphodiacetate, disodium edta, myrtrimonium bromide, poloxamer 184, fil b178838-0",https://images.openbeautyfacts.org/images/products/360/054/135/8485/front_en.3.200.jpg
Skin Active Masque Tissu Charbon Végétal,"L'Oréal, L'Oreal Consumer products, Garnier, Garnier SkinActive",Other,10,28 g,"aqua / water, propylene glycol, glycerin, peg-32, peg-40 hydrogenated castor oil, pvm/ma copolymer, papain, potassium hydroxide, glyceryl acrylate/acrylic acid copolymer, sodium hyaluronate, ananas sativus fruit extract / pineapple fruit extract, p-anisic acid, alcohol, propanediol, sucrose, hydrogenated starch hydrolysate, hydroxyacetophenone, hydroxyethylcellulose, capryloyl salicylic acid, xanthan gum, fucus vesiculosus extract, sodium benzoate, phenoxyethanol, parfum / fragrance (f.i.l c208350/1)",https://images.openbeautyfacts.org/images/products/360/054/209/7024/front_fr.5.200.jpg
Masque Purifiant Naturel à L'Argile Verte.,"Argile, Juvaflorine",Other,35,300 ml,"aqua (water), montmorillonite, caprylyl/capryt glucoside, chlorphenesln, parfum (fragrance), methylisothiazolinone",https://images.openbeautyfacts.org/images/products/316/092/040/2005/front_fr.12.200.jpg
Tápláló ajakápoló,"ciem, Lidl",Other,33,"4,8 g","carl-friedrich, gauss-str. 2, de-50259 pulheim, carl-friedrich-gauss-str. 2, de-50259 pulheim, märgist pakendil. tootja: cosmolux deutschland njemačka. gmbh, carl-friedrich-gauss-str.2, de-50259 pulheim, ro cien care, care. formula sa shea maslacem ogically îngrijire cu unt de shea, vitamina e și ulei de babassu o lüpu balzams &quot, care&quot, carl-friedrich-gauss-str. 2, maigām lūpām. partijas nr.: skatīt uzdruku uz de-50259 pulheim, germania. iepakojuma. ražotājs: cosmolux deutschland gmbh, carl-friedrich-gauss-str. 2, de-50259 pulheim, vācija. o lüpų balzamas, prva južna radna 3, 22330 denmatologiškai patikrinta. gamintojas: cosmolux deutschland gmbh, carl-friedrich-gauss-str. 2, deutschland gmbh, carl-friedrich-gauss-str. 2, de-50259 pulheim, vokietija. o pečující balzám na rty, candelilla cera, éntékes olajakat tartalmazó gazdag formula megvédi glyceryl ricinoleate, cetearyl ethylhexanoate, stearyl az ajkakat a kiszáradástól és segít megtartani a beeswax, behenyl beeswax, butyrospermum parkii nedvességegyensúlyt a bársonyosan puha ajkakért. butter, polyglyceryl-3 diisostearate, tocopheryl o balzam za ustnice cien care. bogata acetate, orbignya oleifera seed oil, persea gratissima formula s karitejevim maslom in dragocenimi olji oil, panthenol, aqua, parfum, limonene, linalool, rs cien balzam za usne, republika srbija. distributer: cosmolux de-50259 pulheim, nemačka. %3d communis seed oil, tribehenin, olea bisabolol, farnesol, tocopherol, hydrogenated palm glycerides citrate, citric acid. cosmolux deutschland gmbh, carl-friedrich-gauss-str. 2, de-50259 pulheim gtin 2076 0403 國 a 4",https://images.openbeautyfacts.org/images/products/000/002/076/0403/front_hu.37.200.jpg
Effaclar,La roche-posay,Cleanser,38,30ml,"water, denatured alcohol, propanediol, glycolic acid, niacinamide, dimethyl isosorbide, pentylene glycol, salicylic acid, sodium hydroxide, peg-60 hydrogenated castor oil, hydroxyethylpiperazine ethane sulfonic acid, citric acid, peg-30 glyceryl cocoate, capryloyl salicylic acid, biosaccharide gum-1, maltodextrin, phytic acid, polyquaternium-10, perfume",https://images.openbeautyfacts.org/images/products/333/787/572/2827/front_en.22.200.jpg
Eau nettoyante apaisante - solution micellaire,"L'Oréal, LASCAD, Mixa",Other,32,200 ml,"aqua/water, hexylene glycol, glycerin, poloxamer 184, dihydrocoleth-30, disodium cocoamphodiacetate, disodium edta, panthenol, polyaminopropyl biguanide, propylene glycol, rosa gallica extract/rosa gallica flower extract, parfum/fragrance. (f.i.l b30333/1)",https://images.openbeautyfacts.org/images/products/360/055/003/8071/front_fr.5.200.jpg
Lait démaquillant apaisant,"Mixa, Mixa Expert, Mixa Expert Peau Sensible",Cleanser,17,200 ml,"aqua / water, ethylhexyl palmitate, glycerin, carbomer, allantoin, ceteareth-25, cetearyl alcohol, disodium cocoamphodiacetate, disodium edta, methylparaben, myrtrimonium bromide, propylene glycol, rosa gallica extract / rosa gallica flower extract, sodium hydroxide, parfum / fragrance. (f.i.l. b53381/2)",https://images.openbeautyfacts.org/images/products/360/055/010/0419/front_fr.7.200.jpg
Nivea Men Creme,Nivea,Other,23,150 ml,"aqua, glycerin, alcohol denat, cetyl alcohol, glyceryl stearate, hydrogenated coco-glycerides, stearyl alcohol, cera microcristallina, palmitic acid, stearic acid, tocopheryl acetate, sodium carbomer, myristic acid, arachidic acid, oleic acid, dimethicone, phenoxyethanol, methylparaben, geraniol, glycerin, paraffinum liquidum, alcohol denat, cetyl alcohol, glyceryl stearate, hydrogenated coco-glycerides, stearyl alcohol, cera microcristallina, palmitic acid, sodium carbomer, myristic acid, arachidic acid, oleic acid, dimethicone, phenoxyethanol, methylparaben, parfum",https://images.openbeautyfacts.org/images/products/400/590/011/5775/front_en.5.200.jpg
Hydro Energetic Soin Hydratant Anti-Fatigue 24H,"L'Oréal, L'Oréal Men Expert",Other,38,50 ml,"aqua/water, glycerin, alcohol denat, isohexadecane, hydrogenated polyisobutene, ammonium polyacryldimethyltauramide/ammonium polyacryloyldimethyl taurate, mentha piperita extract/peppermint leaf extract, peg/ppg-18/18 dimethicone, hdi/trimethylol hexyllactone crosspolymer, dimethicone, cetearyl ethylhexanoate, caffeine, sodium citrate, sodium hydroxide, laminaria digitata extract, magnesium pca, ascorbyl glucoside, isopropyl myristate, caprylyl glycol, menthol, polymethyl methacrylate, phenoxyethanol, ci 19140/yellow 5, ci 42090/blue 1, linalool, limonene, parfum/fragrance (f.i.l. b163387/2)",https://images.openbeautyfacts.org/images/products/360/052/029/7118/front_fr.8.200.jpg
Hyalurogel Gel-Crème Hydratant Intensif 24H,"Mixa, Mixa Expert, Mixa Expert Peau Sensible",Other,17,50 ml,"aqua/water, glycerin, dimethicone, caprylic/capric triglyceride, squalane, ammonium polyacryldimethyltauramide / ammonium polyacryloyldimethyl taurate, bht, biosaccharide gum-1, caprylyl glycol, copper gluconate, dimethiconol, disodium edta, magnesium aspartate, phenoxyethanol, poloxamer 338, sodium hyaluronate, t-butyl alcohol, xanthan gum, zinc gluconate, parfum / fragrance. (f.i.l. b181251/1)",https://images.openbeautyfacts.org/images/products/360/055/082/1215/front_fr.5.200.jpg
